,Accepted_Name,Accepted_ID,Family,Genus,Accepted_Rank,Accepted_Species,Accepted_Species_ID,Tested_for_Alkaloids,Alkaloids,Antimalarial_Use,In_Malarial_Region,Common_Name,Medicinal,Wiki_Page,native_tdwg3_codes,bio1,bio4,bio10,bio11,bio12,bio15,bio16,bio17,brkl_elevation,elevation,slope,soil_nitrogen,soil_ph,soil_soc,soil_depth,soil_ocs,soil_water_cap,latitude,longitude,kg_mode,kg_all,Poisonous,Richness,Emergence,herb,liana,shrub,subshrub,succulent,tree,Activity_Antimalarial
77,Aspidosperma olivaceum,22020-2,Apocynaceae,Aspidosperma,Species,Aspidosperma olivaceum,22020-2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,['BZL'],19.6644992828369,214.498992919922,22.2232494354248,16.7285003662109,1748.11376953125,61.1052513122559,826.724487304688,135.333999633789,790.005554199219,822.60498046875,2.47742080688477,244.27082824707,51.26825332641605,305.9891815185545,1844.75,59.024999618530245,22.875,-22.70558,-46.25,14.0,"[12, 15, 14, 3, 11, 2, 1]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
79,Aspidosperma parvifolium,315552-2,Apocynaceae,Aspidosperma,Species,Aspidosperma parvifolium,315552-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"['BOL', 'BZE', 'BZL', 'BZC', 'CLM', 'GUY', 'PER', 'SUR', 'VEN', 'VNA']",24.2679996490479,131.226257324219,25.5860004425049,22.3457508087158,1516.48352050781,58.3255004882812,631.840759277344,113.924247741699,337.15234375,349.290008544922,1.43789541721344,198.52082824707,53.7916679382324,264.375,2512.75,48.0,21.4375,-12.76667,-47.74783,3.0,"[3, 15, 14, 2, 11, 1, 12, 0, 6]",1.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
81,Aspidosperma polyneuron,77433-1,Apocynaceae,Aspidosperma,Species,Aspidosperma polyneuron,77433-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"['AGE', 'BZE', 'BZS', 'BZL', 'CLM', 'PAR', 'PER', 'VEN']",24.6089992523193,81.0502471923828,26.0282497406006,23.1095008850098,1442.99829101562,57.6074981689453,632.078735351562,111.057502746582,462.274230957031,393.882507324219,1.91260087490082,202.255950927734,56.230770111084,240.41667175293,2756.75,49.6666679382324,24.8125,4.282571,-72.54048,3.0,"[3, 14, 1, 2, 6, 11, 0, 15, 7]",1.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
82,Aspidosperma pyrifolium,77437-1,Apocynaceae,Aspidosperma,Species,Aspidosperma pyrifolium,77437-1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,"['BOL', 'BZN', 'BZE', 'BZL', 'BZC', 'PAR']",25.9837503433228,150.4082489013675,27.608624458313,23.87312507629395,666.3447265625,85.25074768066405,352.79150390625,21.1979999542236,409.437683105469,421.202514648438,0.933906435966492,112.645835876465,62.8333320617676,129.58332824707,2457.0,28.375,17.0,-9.1148775,-39.46861,6.0,"[3, 6, 11, 2, 14, 12, 15, 1, 0]",1.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,Aspidosperma quebracho-blanco,77440-1,Apocynaceae,Aspidosperma,Species,Aspidosperma quebracho-blanco,77440-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"['AGE', 'AGW', 'BOL', 'BZC', 'PAR', 'URU']",19.3425006866455,409.729736328125,24.9722499847412,13.763500213623,980.882019042969,71.6470031738281,430.070739746094,44.5032501220703,267.709136962891,274.197509765625,0.326141595840454,146.79167175293,65.7708358764648,177.66667175293,2967.0,43.6875,20.625,-26.46,-62.88663,6.0,"[14, 3, 11, 6, 12, 5, 7, 15, 4, 1, 2, 29]",1.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
84,Aspidosperma ramiflorum,77443-1,Apocynaceae,Aspidosperma,Species,Aspidosperma ramiflorum,77443-1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,"['BOL', 'BZS', 'BZL']",21.3062496185303,219.333999633789,23.6679992675781,18.17987537384035,1512.9814453125,60.1985015869141,690.9309997558595,130.027626037598,595.520751953125,634.9324951171875,1.48580610752106,202.928573608398,53.1025657653809,233.611114501953,1268.625,49.9230766296387,21.1875,-22.808335,-47.251715,14.0,"[14, 1, 3, 15, 11, 2]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
85,Aspidosperma rigidum,22058-2,Apocynaceae,Aspidosperma,Species,Aspidosperma rigidum,22058-2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"['BOL', 'BZN', 'CLM', 'COS', 'ECU', 'PER', 'VEN']",24.2077503204346,91.3130035400391,25.1725006103516,22.5427494049072,1931.51770019531,47.6732482910156,817.443237304688,180.035751342773,363.204986572266,325.697509765625,2.13952898979187,255.952377319336,53.0,360.25,2085.25,57.4375,23.4375,-11.71666,-69.05,1.0,"[1, 2, 15, 3, 12, 0, 6]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
88,Aspidosperma spruceanum,22069-2,Apocynaceae,Aspidosperma,Species,Aspidosperma spruceanum,22069-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"['BOL', 'BZN', 'BZE', 'BZL', 'BZC', 'CLM', 'FRG', 'GUY', 'PER', 'SUR']",25.191499710083,81.9612503051758,26.1224994659424,24.3472499847412,2200.048828125,49.3847503662109,915.513732910156,212.039505004883,217.85595703125,217.520004272461,0.75976949930191,199.190475463867,49.2916679382324,258.041656494141,2593.25,48.75,21.9375,-3.75,-59.75,1.0,"[1, 2, 3, 11, 15, 12, 6]",0.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
89,Aspidosperma subincanum,77465-1,Apocynaceae,Aspidosperma,Species,Aspidosperma subincanum,77465-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"['BOL', 'BZE', 'BZL', 'BZC']",24.1137504577637,120.684501647949,25.77174949646,21.9855003356934,1435.302734375,81.4789962768555,734.805725097656,28.7859992980957,505.695281982422,515.227478027344,1.38632798194885,147.41667175293,54.6666679382324,188.0,2588.5,46.4375,19.8125,-15.56,-48.12389,3.0,"[3, 14, 15, 11, 12, 6]",1.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
90,Aspidosperma tomentosum,77467-1,Apocynaceae,Aspidosperma,Species,Aspidosperma tomentosum,77467-1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"['BOL', 'BZN', 'BZE', 'BZS', 'BZL', 'BZC', 'PAR']",23.35712432861325,136.337501525879,24.7252492904663,20.9754991531372,1472.25402832031,81.333251953125,734.676239013672,31.99749946594235,682.939086914063,666.739990234375,1.437387108802795,149.77082824707,54.3020839691162,192.102081298828,2689.75,46.6448860168457,20.125,-16.471715,-47.93,3.0,"[2, 3, 15, 14, 11, 12, 6, 7, 1]",1.0,0.047648136835675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
